comment,case_folding,cleaning,normalisasi,tokenisasi,stopword_removal,stemming,score,sentiment_label,sentiment_encoded
"gedung elit, jaringan sulit.","gedung elit, jaringan sulit.",gedung elit jaringan sulit,gedung elit jaringan sulit,"['gedung', 'elit', 'jaringan', 'sulit']","['gedung', 'elit', 'jaringan', 'sulit']","['gedung', 'elit', 'jaring', 'sulit']",1,Positif,1
mau ngeluh tapi cuman satu satunya bank syariah BUMN 😭😭,mau ngeluh tapi cuman satu satunya bank syariah bumn 😭😭,mau ngeluh tapi cuman satu satunya bank syariah bumn ,mau ngeluh tapi cuma satu satunya bank syariah bumn,"['mau', 'ngeluh', 'tapi', 'cuma', 'satu', 'satunya', 'bank', 'syariah', 'bumn']","['ngeluh', 'satunya', 'syariah', 'bumn']","['ngeluh', 'satu', 'syariah', 'bumn']",-1,Negatif,0
tim yg masih punya apk BSI lama😂😂😂😂,tim yg masih punya apk bsi lama😂😂😂😂,tim yg masih punya apk bsi lama,tim yang masih punya aplikasi bsi lama,"['tim', 'yang', 'masih', 'punya', 'aplikasi', 'bsi', 'lama']","['tim', 'aplikasi']","['tim', 'aplikasi']",-2,Negatif,0
"gw punya uang 2M lebih,ga percaya bank manapun,makanya aku simpen di pikiran,aman gak bakalan ilang.","gw punya uang 2m lebih,ga percaya bank manapun,makanya aku simpen di pikiran,aman gak bakalan ilang.",gw punya uang m lebihga percaya bank manapunmakanya aku simpen di pikiranaman gak bakalan ilang,gue punya uang sama lebihga percaya bank manapunmakanya akun simpan di pikiranaman tidak bakalan hilang,"['gue', 'punya', 'uang', 'sama', 'lebihga', 'percaya', 'bank', 'manapunmakanya', 'akun', 'simpan', 'di', 'pikiranaman', 'tidak', 'bakalan', 'hilang']","['gue', 'uang', 'lebihga', 'percaya', 'manapunmakanya', 'akun', 'simpan', 'pikiranaman', 'tidak', 'hilang']","['gue', 'uang', 'lebihga', 'percaya', 'manapunmakanya', 'akun', 'simpan', 'pikiranaman', 'tidak', 'hilang']",-1,Negatif,0
"semoga bank konfensional kembali membuka cabangnya di aceh, kasihan kami masyarakat yg tdk dapat bertransaksi","semoga bank konfensional kembali membuka cabangnya di aceh, kasihan kami masyarakat yg tdk dapat bertransaksi",semoga bank konfensional kembali membuka cabangnya di aceh kasihan kami masyarakat yg tdk dapat bertransaksi,semoga bank konfensional kembali membuka cabangnya di aceh kasihan kami masyarakat yang tidak dapat bertransaksi,"['semoga', 'bank', 'konfensional', 'kembali', 'membuka', 'cabangnya', 'di', 'aceh', 'kasihan', 'kami', 'masyarakat', 'yang', 'tidak', 'dapat', 'bertransaksi']","['semoga', 'konfensional', 'membuka', 'cabangnya', 'aceh', 'kasihan', 'masyarakat', 'tidak', 'bertransaksi']","['moga', 'konfensional', 'buka', 'cabang', 'aceh', 'kasihan', 'masyarakat', 'tidak', 'transaksi']",1,Positif,1
"Gara gara kau BSI gagal beli oleh2.. kena beban moral kan jadi nya. Kalo ga sanggup balekkan konvensional, rekening ku banyak tapi ga bisa di gunakan. P*pm","gara gara kau bsi gagal beli oleh2.. kena beban moral kan jadi nya. kalo ga sanggup balekkan konvensional, rekening ku banyak tapi ga bisa di gunakan. p*pm",gara gara kau bsi gagal beli oleh kena beban moral kan jadi nya kalo ga sanggup balekkan konvensional rekening ku banyak tapi ga bisa di gunakan ppm,gara gara kau bsi gagal beli oleh kena beban moral kan jadi ya kalau tidak sanggup balekkan konvensional rekening ku banyak tapi tidak bisa di gunakan ppm,"['gara', 'gara', 'kau', 'bsi', 'gagal', 'beli', 'oleh', 'kena', 'beban', 'moral', 'kan', 'jadi', 'ya', 'kalau', 'tidak', 'sanggup', 'balekkan', 'konvensional', 'rekening', 'ku', 'banyak', 'tapi', 'tidak', 'bisa', 'di', 'gunakan', 'ppm']","['gara', 'gara', 'kau', 'gagal', 'beli', 'kena', 'beban', 'moral', 'tidak', 'sanggup', 'balekkan', 'konvensional', 'rekening', 'tidak', 'ppm']","['gara', 'gara', 'kau', 'gagal', 'beli', 'kena', 'beban', 'moral', 'tidak', 'sanggup', 'balekkan', 'konvensional', 'rekening', 'tidak', 'ppm']",-5,Negatif,0
"sejak pakek bsi ni ketar ketir tb2 gak bisa narik ,gak ada ketenangan makek bsi ni","sejak pakek bsi ni ketar ketir tb2 gak bisa narik ,gak ada ketenangan makek bsi ni",sejak pakek bsi ni ketar ketir tb gak bisa narik gak ada ketenangan makek bsi ni,sejak pakai bsi nih ketar ketir tb tidak bisa tarik tidak ada ketenangan makek bsi nih,"['sejak', 'pakai', 'bsi', 'nih', 'ketar', 'ketir', 'tb', 'tidak', 'bisa', 'tarik', 'tidak', 'ada', 'ketenangan', 'makek', 'bsi', 'nih']","['pakai', 'nih', 'ketar', 'ketir', 'tidak', 'tarik', 'tidak', 'ketenangan', 'makek', 'nih']","['pakai', 'nih', 'ketar', 'tir', 'tidak', 'tarik', 'tidak', 'tenang', 'makek', 'nih']",-2,Negatif,0
untung masi punya apk bsi yg lama jadi aman😅,untung masi punya apk bsi yg lama jadi aman😅,untung masi punya apk bsi yg lama jadi aman,untung masih punya aplikasi bsi yang lama jadi aman,"['untung', 'masih', 'punya', 'aplikasi', 'bsi', 'yang', 'lama', 'jadi', 'aman']","['untung', 'aplikasi', 'aman']","['untung', 'aplikasi', 'aman']",-1,Negatif,0
"gilaa parahhhh buruk bgt jd susah mau ngapain² uang di bsi smw, kapokkkk pakai bsi udh brpa hari gangguan trs😭","gilaa parahhhh buruk bgt jd susah mau ngapain² uang di bsi smw, kapokkkk pakai bsi udh brpa hari gangguan trs😭",gilaa parahhhh buruk bgt jd susah mau ngapain uang di bsi smw kapokkkk pakai bsi udh brpa hari gangguan trs,gila parahhhh buruk banget jadi sulit mau mengapai uang di bsi semua kapokkkk pakai bsi sudah berapa hari masalah terus,"['gila', 'parahhhh', 'buruk', 'banget', 'jadi', 'sulit', 'mau', 'mengapai', 'uang', 'di', 'bsi', 'semua', 'kapokkkk', 'pakai', 'bsi', 'sudah', 'berapa', 'hari', 'masalah', 'terus']","['gila', 'parahhhh', 'buruk', 'banget', 'sulit', 'mengapai', 'uang', 'kapokkkk', 'pakai', 'masalah']","['gila', 'parahhhh', 'buruk', 'banget', 'sulit', 'kapai', 'uang', 'kapokkkk', 'pakai', 'masalah']",-1,Negatif,0
Untung bukan tim bsi,untung bukan tim bsi,untung bukan tim bsi,untung bukan tim bsi,"['untung', 'bukan', 'tim', 'bsi']","['untung', 'bukan', 'tim']","['untung', 'bukan', 'tim']",-2,Negatif,0
"pantes ,pikir td gak ada uang nya 😫😫","pantes ,pikir td gak ada uang nya 😫😫",pantes pikir td gak ada uang nya ,pantas pikir tadi tidak ada uang ya,"['pantas', 'pikir', 'tadi', 'tidak', 'ada', 'uang', 'ya']","['pikir', 'tidak', 'uang']","['pikir', 'tidak', 'uang']",-1,Negatif,0
langsung gk ada karyawan bsi yg live kan😂😂😂biasanya sore2 udh pada banyak yg live di tiktok😂😂,langsung gk ada karyawan bsi yg live kan😂😂😂biasanya sore2 udh pada banyak yg live di tiktok😂😂,langsung gk ada karyawan bsi yg live kanbiasanya sore udh pada banyak yg live di tiktok,langsung tidak ada karyawan bsi yang live kanbiasanya sore sudah pada banyak yang live di tiktok,"['langsung', 'tidak', 'ada', 'karyawan', 'bsi', 'yang', 'live', 'kanbiasanya', 'sore', 'sudah', 'pada', 'banyak', 'yang', 'live', 'di', 'tiktok']","['langsung', 'tidak', 'karyawan', 'live', 'kanbiasanya', 'sore', 'live', 'tiktok']","['langsung', 'tidak', 'karyawan', 'live', 'kanbiasanya', 'sore', 'live', 'tiktok']",3,Positif,1
Kan Tampil Beda dr daerah lain😁😁😁😁,kan tampil beda dr daerah lain😁😁😁😁,kan tampil beda dr daerah lain,kan tampil beda dari daerah lain,"['kan', 'tampil', 'beda', 'dari', 'daerah', 'lain']","['tampil', 'beda', 'daerah']","['tampil', 'beda', 'daerah']",-1,Negatif,0
nabung di bsi ud 3 x tersedot saldo dn ud kapok skrg nabung ke bank aceh InsyaAllah lebih aman,nabung di bsi ud 3 x tersedot saldo dn ud kapok skrg nabung ke bank aceh insyaallah lebih aman,nabung di bsi ud  x tersedot saldo dn ud kapok skrg nabung ke bank aceh insyaallah lebih aman,nabung di bsi sudah kali tersedot saldo dan sudah kapok sekarang nabung ke bank aceh insyaallah lebih aman,"['nabung', 'di', 'bsi', 'sudah', 'kali', 'tersedot', 'saldo', 'dan', 'sudah', 'kapok', 'sekarang', 'nabung', 'ke', 'bank', 'aceh', 'insyaallah', 'lebih', 'aman']","['nabung', 'kali', 'tersedot', 'saldo', 'kapok', 'nabung', 'aceh', 'insyaallah', 'aman']","['nabung', 'kali', 'sedot', 'saldo', 'kapok', 'nabung', 'aceh', 'insyaallah', 'aman']",1,Positif,1
dari dulu bank Aceh lebih aman dan terpercaya,dari dulu bank aceh lebih aman dan terpercaya,dari dulu bank aceh lebih aman dan terpercaya,dari dulu bank aceh lebih aman dan terpercaya,"['dari', 'dulu', 'bank', 'aceh', 'lebih', 'aman', 'dan', 'terpercaya']","['aceh', 'aman', 'terpercaya']","['aceh', 'aman', 'percaya']",1,Positif,1
Semalam bisa tapi pakek BSI lama,semalam bisa tapi pakek bsi lama,semalam bisa tapi pakek bsi lama,semalam bisa tapi pakai bsi lama,"['semalam', 'bisa', 'tapi', 'pakai', 'bsi', 'lama']","['semalam', 'pakai']","['malam', 'pakai']",-1,Negatif,0
"Pasti ini di aceh yaa, gimana gimana sistem perbankan syariah disana ? 😂😂","pasti ini di aceh yaa, gimana gimana sistem perbankan syariah disana ? 😂😂",pasti ini di aceh yaa gimana gimana sistem perbankan syariah disana  ,pasti ini di aceh ya bagaimana bagaimana sistem perbankan syariah disana,"['pasti', 'ini', 'di', 'aceh', 'ya', 'bagaimana', 'bagaimana', 'sistem', 'perbankan', 'syariah', 'disana']","['aceh', 'sistem', 'perbankan', 'syariah', 'disana']","['aceh', 'sistem', 'perban', 'syariah', 'sana']",-2,Negatif,0
"aku top up shoppe gagal, tapi kok saldonya malah berkurnag si ya allah","aku top up shoppe gagal, tapi kok saldonya malah berkurnag si ya allah",aku top up shoppe gagal tapi kok saldonya malah berkurnag si ya allah,akun top up shoppe gagal tapi kok saldonya malah berkurnag sih ya allah,"['akun', 'top', 'up', 'shoppe', 'gagal', 'tapi', 'kok', 'saldonya', 'malah', 'berkurnag', 'sih', 'ya', 'allah']","['akun', 'top', 'shoppe', 'gagal', 'saldonya', 'berkurnag', 'sih', 'allah']","['akun', 'top', 'shoppe', 'gagal', 'saldo', 'berkurnag', 'sih', 'allah']",2,Positif,1
semenjak BRI dinganti dengan BSI.. semua terhalang... 😁😁,semenjak bri dinganti dengan bsi.. semua terhalang... 😁😁,semenjak bri dinganti dengan bsi semua terhalang ,semenjak bri dinganti dengan bsi semua terhalang,"['semenjak', 'bri', 'dinganti', 'dengan', 'bsi', 'semua', 'terhalang']","['semenjak', 'bri', 'dinganti', 'terhalang']","['semenjak', 'bri', 'dinganti', 'halang']",-1,Negatif,0
kembalikan Bank Konvensional agar ada persaingan yang sehat di dunia perbankan di Aceh,kembalikan bank konvensional agar ada persaingan yang sehat di dunia perbankan di aceh,kembalikan bank konvensional agar ada persaingan yang sehat di dunia perbankan di aceh,kembalikan bank konvensional agar ada persaingan yang sehat di dunia perbankan di aceh,"['kembalikan', 'bank', 'konvensional', 'agar', 'ada', 'persaingan', 'yang', 'sehat', 'di', 'dunia', 'perbankan', 'di', 'aceh']","['kembalikan', 'konvensional', 'persaingan', 'sehat', 'dunia', 'perbankan', 'aceh']","['kembali', 'konvensional', 'saing', 'sehat', 'dunia', 'perban', 'aceh']",-1,Negatif,0
tim bank Aceh santuy dulu ga sih 😌😂,tim bank aceh santuy dulu ga sih 😌😂,tim bank aceh santuy dulu ga sih ,tim bank aceh santuy dulu tidak sih,"['tim', 'bank', 'aceh', 'santuy', 'dulu', 'tidak', 'sih']","['tim', 'aceh', 'santuy', 'tidak', 'sih']","['tim', 'aceh', 'santuy', 'tidak', 'sih']",-2,Negatif,0
